BroodYear,JuvenileProductionEstimate,WY
1992,246157,1993
1993,90546,1994
1994,74491,1995
1995,338107,1996
1996,165069,1997
1997,138316,1998
1998,454792,1999
1999,289724,2000
2000,370221,2001
2001,1864802,2002
2002,2136747,2003
2003,1896649,2004
2004,881719,2005
2005,3831286,2006
2006,3739069,2007
2007,589911,2008
2008,617783,2009
2009,1179633,2010
2010,332012,2011
2011,162051,2012
2012,532809,2013
2013,1196387,2014
2014,124521,2015
2015,101716,2016
2016,166189,2017
2017,201409,2018
2018,433176,2019
2019,854941,2020
2020,330130,2021
2021,125038,2022
